,State Name,Two Wheeler,Three Wheeler,Four Wheeler
0,Andaman and Nicobar Island,1,30,81
1,Arunachal Pradesh,14,0,5
2,Assam,721,47041,161
3,Bihar,5003,59079,114
4,Chandigarh,298,1410,182
5,Chhattisgarh,6424,5341,117
6,Delhi,14730,112831,3051
7,Goa,1314,28,289
8,Gujarat,13662,1869,1309
9,Haryana,7777,18595,186
10,Himachal Pradesh,368,167,37
11,Jammu and Kashmir,1417,43,10
12,Jharkhand,2961,8986,139
13,Karnataka,56737,16478,7212
14,Kerala,10299,2115,2524
15,Ladakh,12,0,5484
16,Maharashtra,51149,6155,2
17,Manipur,86,443,9
18,Meghalaya,16,6,3
19,Mizoram,9,1,4
20,Nagaland,44,0,121
21,Odisha,10329,1808,75
22,Puducherry,1429,32,124
23,Punjab,6408,2878,798
24,Rajasthan,23446,29631,12
25,Sikkim,1,0,2414
26,Tamil Nadu,44302,4470,13
27,Tripura,67,7510,14
28,Dadra and Nagar Haveli and Daman and Diu,69,36,153
29,Uttar Pradesh,18295,257159,368
30,Uttarakhand,2614,22096,709
31,West Bengal,2540,40948,615
